🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
👪	noun	mama	Georgian მამა mama ‘father’	parent		parent, ancestor, creator, originator, caretaker, sustainer					mama	Georgian მამა mama ‘father’	父母		父母、祖先、创造者、创始者、看守者、维持者					mama	Georgian მამა mama ‘father’	父母		父母、祖先、創造者、創始者、看守者、維持者					मामा	जोर्जियन მამა मामा ‘बाप’	मां बाप		मां बाप, रचनात्मक, ख्याल रखने वाला					мама	Грузинский მამა mama ‘отец’	родитель		родитель, предок, создатель, источник, смотритель, хранитель					mama	Georgiano მამა mama ‘pai’	pai/mãe		pai/mãe, ancestral, criador, originador, cuidador, sustentador					mama	Georgisch მამა mama ‘Vater’	Elternteil		Elternteil, Vorfahre, Erschaffer, Fürsorger 				
💰	noun	mani	English money	money		money, cash, savings, wealth					mani	English money	钱		钱、现金、储蓄、财富					mani	English money	錢		錢、現金、儲蓄、財富					मानी	अंग्रेज़ी money मनी 'पैसा'	पैसा		पैसा, धन, दौलत, संपत्ति					мани	Английский money 'деньги'	деньги		деньги, наличные, сбережения, богатство					mani	Inglês money 'dinheiro'	dinheiro		dinheiro, grana, poupança, riqueza					mani	Englisch money 'Geld'	Geld		Geld, Bargeld, Ersparnisse, Vermögen				
😋	modifier	masala	Hindi मसाला masālā 'spice', ultimately from Arabic صَلَحَ‎ ṣalaḥa 'stable'	spicy			spicy, tasty, flavored				masala	Hindi मसाला masālā 'spice', ultimately from Arabic صَلَحَ‎ ṣalaḥa 'stable'	香的			香的、可口的、有味的				masala	Hindi मसाला masālā 'spice', ultimately from Arabic صَلَحَ‎ ṣalaḥa 'stable'	香的			香的、可口的、有味的				मासाला	हिंदी मसाला जिसका मूल है अरबी صَلَحَ‎ सलह 'स्थिर'	मसालेदार			मसालेदार, स्वादिष्ट				масала	Хинди मसाला masālā 'специя', от арабского صَلَحَ‎ ṣalaḥa 'стойкий'	специя		специя	острый, вкусный, ароматный				masala	Híndi मसाला masālā 'tempero', derivado do árabe صَلَحَ‎ ṣalaḥa 'estável'	apimentado			apimentado, gostoso, saboroso				masala	Hindi मसाला masālā 'Gewürz', aus dem Arabischen صَلَحَ‎ ṣalaḥa 'stabil'	würzig			würzig, lecker, aromatisiert			
🥈	modifier	matija	Sanskrit मध्य madhya ‘middle, central’	middle			medium, mediocre, neither fully one nor the other, between two extremes				matija	Sanskrit मध्य madhya ‘middle, central’	中等的			中等的、平庸的（介于两个极端之间）				matija	Sanskrit मध्य madhya ‘middle, central’	中等的			中等的、平庸的（介於兩個極端之間）				मातीया	संस्कृत मध्य ‘मध्य’	मध्य			बीच, मध्य, ना इस पार ना उस पार				матия	Санскрит मध्य madhya ‘средний, центральный’	средина			средний, посредственный, ни то, ни сё, между двумя крайностями				matija	Sânscrito मध्य madhya ‘meio, central’	meio			médio, medíocre, nem totalmente um nem o outro, entre dois extremos				matija	Sanskrit मध्य madhya ‘mittel, zentral’	mittel			mittel, mittelmäßig, weder ganz das eine noch das andere, zwischen zwei Extremen			
🍃	modifier	mawon	Vietnamese mỏng 'thin, slender, slim'	light			light, thin				mawon	Vietnamese mỏng 'thin, slender, slim'	轻的			轻的、薄的				mawon	Vietnamese mỏng 'thin, slender, slim'	輕的			輕的、薄的				मावों	वियतनामी mỏng मोङ 'पतला'	हल्का			हल्का, पतला				мавон	Вьетнамский mỏng 'тонкий, стройный, изящный'	лёгкий			лёгкий, тонкий				mawon	Vietnamita mỏng 'fino, esguio, magro'	leve			leve, magro				mawon	Vietnamesisch mỏng 'dünn, leicht'	leicht			leicht, dünn			
🐱	noun	meja	onomatopoeia	cat		cat, an animal of the Feliformia suborder					meja	onomatopoeia	猫		猫、猫科动物（老虎、狮子、豹子、猞猁等）					meja	onomatopoeia	貓		貓、貓科動物（老虎、獅子、豹子、猞猁等）					मेया	अर्थानुरणन	बिल्ली		बिल्ली, शेर, बाघ, तेंदुआ, आदि					мэя	звукоподражание	кот		кошачьи (кошка, лев, пантера)					meja	onomatopeia	gato		gato, animal da subordem Feliformia					meja	Lautmalerei	Katze		Katze, Tier der Unterordnung der Katzenartigen				
	numeral	meka	SI prefix mega	million						one million	meka	SI prefix mega	百万						百万，1000,000	meka	SI prefix mega	百萬						百萬，1000,000	मेका	एस. आई. उपसर्ग mega मेगा	दस लाख						दस लाख	мэка	СИ приставка mega	миллион						миллион	meka	prefixo SI mega	milhão						um milhão	meka	SI-Präfix mega	Millionen						eine Millionen
♀️	modifier	meli	Tok Pisin meri ‘woman, wife, feminine’, from Tolai mari ‘pretty’ & English Mary	female			female, feminine				meli	Tok Pisin meri ‘woman, wife, feminine’, from Tolai mari ‘pretty’ & English Mary	女的			女的、女性化的				meli	Tok Pisin meri ‘woman, wife, feminine’, from Tolai mari ‘pretty’ & English Mary	女的			女的、女性化的				मेली	टोक पिसिन meri मेरी 'महिला’ जिसका मूल है अंग्रेज़ी Mary मेरी (नाम)	स्त्री			स्त्री				мэли	Ток-писин meri ‘женщина, жена, женский’, от Толаи mari ‘милый’ и английского Mary	женский		женщина	женский				meli	Tok Pisin meri ‘mulher, esposa, feminino’, do Tolai mari ‘bonito’ & inglês Mary 'Maria'	fêmea			fêmea, feminino				meli	Tok Pisin meri ‘Frau, Ehefrau, weiblich’, aus dem Tolai-ischen mari ‘hübsch’ & Englischen Mary	weiblich			weiblich, feminin			
👈	noun	mi	Esperanto mi ‘I, me’, from Romance m- ‘(1st person singular oblique)’	me		I, me					mi	Esperanto mi ‘I, me’, from Romance m- ‘(1st person singular oblique)’	我		我（第一人称）					mi	Esperanto mi ‘I, me’, from Romance m- ‘(1st person singular oblique)’	我		我（第一人稱）					मी	एस्पेरांटो mi मी ‘मैं’, जिसका मूल है रोमांस भाषा का m- म- ‘(मैं)’	मैं		मैं					ми	Эсперанто mi ‘я, мой’, от романского m- ‘(склонение 1-го лица единственного числа)’	я		я, мой, мне					mi	Esperanto mi ‘eu, me, mim’, do Romance m- ‘(1ª pessoa oblíqua do singular)’	eu		eu, me, mim					mi	Esperanto mi ‘Ich, mich’, aus dem Romanischen m- ‘(1. Pers. Singular)’	Ich		Ich, mich				
♂️	modifier	mije	Finnish mies ‘man, husband’	male			male, masculine				mije	Finnish mies ‘man, husband’	男的			男的、男性化的				mije	Finnish mies ‘man, husband’	男的			男的、男性化的				मीये	फ़िन्निश mies मिएस ‘आदमी, पति, शौहर’	पुरुष			पुरुष				мие	Финский mies ‘мужчина, муж’	мужской		мужчина	мужской				mije	Finlandês mies ‘homem, marido’	macho			macho, masculino				mije	Finnisch mies ‘Ehemann, Mann’	männlich			männlich, maskulin			
⚡	modifier	minsu	Kannada ಮಿಂಚು mincu ‘lightning’	electric			electric				minsu	Kannada ಮಿಂಚು mincu ‘lightning’	电动的			电的、电动的				minsu	Kannada ಮಿಂಚು mincu ‘lightning’	電動的			電的、電動的				मींसू	कन्नड ಮಿಂಚು मिंचु ‘बिजली’	बिजली			बिजली (का)				минсу	Каннада ಮಿಂಚು mincu ‘молния’	электро		электричество	электрический				minsu	Kannada ಮಿಂಚು mincu ‘relâmpago’	elétrico			elétrico				minsu	Kannada ಮಿಂಚು mincu ‘Blitz’	elektrisch			elektrisch			
🐹	noun	misa	Ukrainian миша myša 'mouse'	rodent		rodent					misa	Ukrainian миша myša 'mouse'	啮齿类		啮齿类动物（老鼠、兔子等）					misa	Ukrainian миша myša 'mouse'	齧齒類		齧齒類動物（老鼠、兔子等）					मीसा	युक्रेनियन миша मीसा 'चूहा'	चूहा		चूहा, मूषक, कृंतक 					миса	Украинский миша myša 'мышь'	мышь		грызуны (крыса, хомяк, суслик)					misa	Ucraniano миша myša 'camundongo'	roedor		roedor					misa	Ukrainisch миша myša 'Maus'	Nagetier		Nagetier				
🎏	noun	misali	Hindi मिसाल misāl 'example, sample', ultimately from Arabic مِثَال miṯāl	example		example, sample, version, edition					misali	Hindi मिसाल misāl 'example, sample', ultimately from Arabic مِثَال miṯāl	示例		示例、样本、版本					misali	Hindi मिसाल misāl 'example, sample', ultimately from Arabic مِثَال miṯāl	示例		示例、樣本、版本					मीसाली	हिंदी मिसाल जिसका मूल है अरबी مِثَال मिसाल	मिसाल		मिसाल, उधाहरण, संस्करण					мисали	Хинди मिसाल misāl 'пример, например', от арабского مِثَال miṯāl	пример		пример, образец, версия, издание					misali	Híndi मिसाल misāl 'exemplo, amostra', derivado do árabe مِثَال miṯāl	exemplo		exemplo, amostra, versão, edição					misali	Hindi मिसाल misāl 'Beispiel, Probe', aus dem Arabischen مِثَال miṯāl	Beispiel		Beispiel, Probe, Version, Ausgabe				
🍽️	verb	moku	Japanese モグモグ mogumogu ‘munching’	eat	to eat, to drink, to consume, to swallow, to ingest	food					moku	Japanese モグモグ mogumogu ‘munching’	吃	吃、喝、消耗、吞咽、摄取	食物					moku	Japanese モグモグ mogumogu ‘munching’	吃	吃、喝、消耗、吞咽、攝取	食物					मोकू	जापानी モグモグ मोगूमोगू ‘चबाना’	खाना	खाना, पीना, गटकना, भोजन करना	खाना, अन्न, भोजन					моку	Японский モグモグ mogumogu ‘жевать’	есть	есть, пить, потреблять, глотать	еда, продукты	съедобный, пищевой				moku	Japonês モグモグ mogumogu ‘mastigada’	comer	comer, beber, consumir, engolir, ingerir	comida					moku	Japanisch モグモグ mogumogu ‘mampfend’	essen	essen, trinken, konsumieren	Essen				
💀	modifier	moli	Acadian French mourir ‘die’	dead			dead				moli	Acadian French mourir ‘die’	死的			死的，死了的				moli	Acadian French mourir ‘die’	死的			死的，死了的				मोली	अकाडियन फ्रेंच mourir मोउरीर ‘मरना’	मरा			मरा हुआ				моли	Французский акадский mourir ‘умереть’	мёртвый			мёртвый				moli	Francês acadiano mourir ‘morrer’	morto			morto				moli	Akadisches Französisch mourir ‘sterben’	tot			tot			
